蝶影密码,#genre#
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484#http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
教育卫视,http://39.134.65.162/PLTV/88888888/224/3221225558/1.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225558/1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
三沙卫视,https://live3.hnntv.cn/srs/tv/ssws.m3u8
📡四川频道,#genre#
四川新闻,http://118.114.96.20:8889/udp/239.93.0.47:5140?$四川成都电信
四川经济,http://118.114.96.20:8889/udp/239.93.1.101:5140?$四川成都电信
四川乡村,http://118.114.96.20:8889/udp/239.93.0.52:5140?$四川成都电信
四川文化,http://118.114.96.20:8889/udp/239.93.1.102:5140?$四川成都电信
四川影视,http://118.114.96.20:8889/udp/239.93.0.166:5140?$四川成都电信
四川科教,http://118.114.96.20:8889/udp/239.93.42.44:5140?$四川成都电信
四川少儿,http://118.114.96.20:8889/udp/239.93.0.219:5140?$四川成都电信
大爱四川,http://118.114.96.20:8889/udp/239.93.1.110:5140?$四川成都电信
大爱旅游,http://118.114.96.20:8889/udp/239.93.42.70:5140?$四川成都电信
大爱时尚,http://118.114.96.20:8889/udp/239.93.42.72:5140?$四川成都电信
大爱生活,http://118.114.96.20:8889/udp/239.93.42.71:5140?$四川成都电信
成都公共,http://118.114.96.20:8889/udp/239.93.1.231:5140?$四川成都电信
成都影视,http://118.114.96.20:8889/udp/239.93.0.19:1250?$四川成都电信
成都生活,http://118.114.96.20:8889/udp/239.93.0.18:1238?$四川成都电信
成都经济,http://118.114.96.20:8889/udp/239.93.0.17:1239?$四川成都电信
成都少儿,http://118.114.96.20:8889/udp/239.93.0.21:1251?$四川成都电信
熊猫体娱,http://118.114.96.20:8889/udp/239.93.0.94:5140?$四川成都电信
熊猫少儿,http://118.114.96.20:8889/udp/239.93.1.189:5140?$四川成都电信
熊猫影院,http://118.114.96.20:8889/udp/239.93.0.214:5140?$四川成都电信
熊猫新闻,http://118.114.96.20:8889/udp/239.93.1.112:5140?$四川成都电信
熊猫生活,http://118.114.96.20:8889/udp/239.93.1.190:5140?$四川成都电信
熊猫频道,http://118.114.96.20:8889/udp/239.93.0.211:9148?$四川成都电信
蓉城先知,http://118.114.96.20:8889/udp/239.93.0.91:2101?$四川成都电信
爱上4K,http://114.252.234.124:8888/rtp/239.3.1.236:2000$北京联通
北京4K超清,http://114.252.234.124:8888/rtp/239.3.1.249:8001$北京联通
北京新闻,http://114.252.234.124:8888/rtp/239.3.1.159:8000$北京联通
北京生活,http://114.252.234.124:8888/rtp/239.3.1.117:8000$北京联通
北京影视,http://114.252.234.124:8888/rtp/239.3.1.158:8000$北京联通
北京文艺,http://114.252.234.124:8888/rtp/239.3.1.242:8000$北京联通
北京财经,http://114.252.234.124:8888/rtp/239.3.1.116:8000$北京联通
北京体育,http://114.252.234.124:8888/rtp/239.3.1.243:8000$北京联通
北京国际,http://114.252.234.124:8888/rtp/239.3.1.235:8000$北京联通
北京纪实科教,http://114.252.234.124:8888/rtp/239.3.1.115:8000$北京联通
北京少儿,http://114.252.234.124:8888/rtp/239.3.1.189:8000$北京联通
北京淘BABY,http://114.252.234.124:8888/rtp/239.3.1.238:8001$北京联通
北京淘剧场,http://114.252.234.124:8888/rtp/239.3.1.95:8001$北京联通
北京淘娱乐,http://114.252.234.124:8888/rtp/239.3.1.100:8001$北京联通
北京淘电影,http://114.252.234.124:8888/rtp/239.3.1.250:8001$北京联通
北京淘精彩,http://114.252.234.124:8888/rtp/239.3.1.178:8001$北京联通
朝阳融媒,http://114.252.234.124:8888/rtp/239.3.1.163:8001$北京联通
密云电视,http://114.252.234.124:8888/rtp/239.3.1.154:8001$北京联通
延庆电视,http://114.252.234.124:8888/rtp/239.3.1.187:8001$北京联通
房山电视,http://114.252.234.124:8888/rtp/239.3.1.96:8001$北京联通
解密,http://114.252.234.124:8888/rtp/239.3.1.75:4120$北京联通
河北都市,http://121.25.140.33:8888/rtp/239.253.92.172:6002?$河北张家口联通
湖南都市,http://www.yao87.com:4022/udp/239.76.253.104:9000?$湖南长沙电信
湖南公共,http://www.yao87.com:4022/udp/239.76.253.109:9000?$湖南长沙电信
湖南经视,http://www.yao87.com:4022/udp/239.76.253.103:9000?$湖南长沙电信
湖南电影,http://www.yao87.com:4022/udp/239.76.253.106:9000?$湖南长沙电信
湖南电视,http://www.yao87.com:4022/udp/239.76.253.108:9000?$湖南长沙电信
湖南娱乐,http://www.yao87.com:4022/udp/239.76.253.105:9000?$湖南长沙电信
彩影视,http://www.8700956.top:18888/rtp/239.81.0.152:4056
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=742
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
私人影院,mitv://generationnexxxt.com:19806/3cfadd5e9af14d6db652b3c23acd7a7d
科幻电影,https://stream.ads.ottera.tv/playlist.m3u8?network_id=151
拳击频道,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
地方频道,#genre#
阿坝州综合频道,http://dcpull.sctvcloud.com/live/522fab2601881000cd142f2900000000/playlist.m3u8
阿坝州文艺频道,http://dcpull.sctvcloud.com/live/52304cbd0188100059040d3700000000/playlist.m3u8
阿勒泰1套,https://play-a2.quklive.com/live/1704380285590041.m3u8
阿勒泰2套,https://play-a2.quklive.com/live/1704380366011045.m3u8
安徽导视频道,https://livehls1.appcoo.com/liveshopping/949E0A98C9D0C311/6D925141BC1F8C28/index.m3u8
安平新闻综合,http://zhap.city1000.cn/xinwen/ap_xw.m3u8
安顺公共频道,http://hplayer1.juyun.tv/camera/116587130.m3u8
安顺新闻频道,http://hplayer1.juyun.tv/camera/133635181.m3u8
安阳科教频道,http://zhpull.dxhmt.cn:80/anyang/24edb37167474b17948c6fbaf09890b8/playlist.m3u8#http://zhpull.dxhmt.cn/anyang/24edb37167474b17948c6fbaf09890b8/playlist.m3u8
安岳新闻综合,https://livepull.ayrmt.com/live/fmzb1703836948867.m3u8
安州综合频道,http://dcpull.sctvcloud.com/live/55e5d1eb018810004d91cf1700000000/playlist.m3u8
巴马综合,https://lives.myun.tv/live/028exb80.m3u8#rtmp://live.gxrb.com.cn/gx/bama
巴南综合频道,http://live.cqbntv.com/bnmc/bn14B.m3u8
巴音郭楞1套,http://file.loulannews.cn/nmip-media/channellive/channel101476/playlist.m3u8
巴音郭楞2套,http://file.loulannews.cn/nmip-media/channellive/channel102433/playlist.m3u8
巴音郭楞3套,http://file.loulannews.cn/nmip-media/channellive/channel103824/playlist.m3u8
巴音郭楞4套,http://file.loulannews.cn/nmip-media/channellive/channel104199/playlist.m3u8
白银公共,http://play.kankanlive.com/live/1696834115672925.m3u8
白银综合,http://play.kankanlive.com/live/1696824115516930.m3u8
保定生活,http://jwcdnqx.hebyun.com.cn/live/bddst/1500k/tzwj_video.m3u8
保山1套,https://livetxynbsdst.chinamcache.com/live/zb04.m3u8?txSecret=316b41fa3ccc85fe81aec6c90065c166&txTime=67847DB6
保山2套,https://livetxynbsdst.chinamcache.com/live/zb03.m3u8?txSecret=d93358689f07ff61f63838c3a0c180bc&txTime=67847DB6
保山3套,https://livetxynbsdst.chinamcache.com/live/zb02.m3u8?txSecret=cea94501be7015643d1c8ad49d50fe81&txTime=67847DB6
北碚综合,http://222.178.181.121:12034/beibei01.m3u8#http://222.178.181.121:12034/beibei01.m3u8?zzhongqd
北海图文频道,http://citylive.njgdmm.com/beihai/d49b9838-dacf-4a22-ab46-1eed2b515d88.m3u8#http://citylive.njgdmm.com/beihai/d49b9838-dacf-4a22-ab46-1eed2b515d88.flv
北京新闻,http://live.funhillrm.com/5/sd/live.m3u8?zbeid
璧山综合,http://222.179.42.129:8181/hls1.m3u8#http://222.179.42.129:8181/hls1.m3u8?zzhongqd
宾川1套,http://live.bcrmtzx.com/tv01/sd/live.m3u8
滨海1套,http://traffic.jbh.tjbh.com/live/bhtv1/playlist.m3u8
滨海2套,http://traffic.jbh.tjbh.com/live/bhtv2/playlist.m3u8
滨海3套,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
滨海新闻综合,http://jsbh.chinashadt.com:2036/live/bh11.stream/playlist.m3u8
滨州民生频道,http://pullhls23ee9d41.live.126.net/live/c493e16c720c4bc2b46129e594ee027a/playlist.m3u8
滨州新闻综合,http://pullhls23ee9d41.live.126.net/live/14581ba42b9543139e940d7bd24797a8/playlist.m3u8
亳州1套,http://220.180.110.101:8083/videos/live/33/59/NC7XQdEveyncq/NC7XQdEveyncq.m3u8
亳州2套,http://220.180.110.101:8083/videos/live/39/13/o4ncrHkSp7q09/o4ncrHkSp7q09.M3U8
博州汉语综合,https://alitv-play.boznews.cn/live/bttv1.m3u8?auth_key=1718209426-0-0-ddc1781460bc7b5062ae943c6d7164af
博州蒙语综合,https://alitv-play.boznews.cn/live/bttv2.m3u8?auth_key=1718209433-0-0-b44e8fb277a810bbde60b4cf7df6bfa9
博州维语综合,https://alitv-play.boznews.cn/live/bttv3.m3u8?auth_key=1718209451-0-0-8c6e7db80a773017dc7d8eb0d5f73453
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed
苍溪综合频道,http://livecx.cxxrmt.com/cxdst/zb03.m3u8?auth_key=1692864295-0-0-4edeb8a8702116ab36f44606c26719f4#http://livecx.cxxrmt.com:80/cxdst/zb03.m3u8?auth_key=1692864295-0-0-4edeb8a8702116ab36f44606c26719f4
沧州公共频道,http://czlive.czgd.tv:8091/live/czet_czetzm.m3u8
沧州新闻综合,http://czlive.czgd.tv:8091/live/czyt_czytzm.m3u8
沧州影视娱乐,http://czlive.czgd.tv:8091/live/czst_czstzm.m3u8
察隅电视台,http://file.chayutv.com/nmip-media/channellive/channel105276/playlist.m3u8#rtmp://tv.chayutv.com:1935/channel/cytv
常熟民生经济,http://cstvplay.21cs.cn/cstv2/cstv2.m3u8
常熟新闻频道,http://cstvplay.21cs.cn/cstv1/cstv1.m3u8
朝天新闻综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel104601/playlist.m3u8#https://m3u8.channel.dzsm.com:443/nmip-media/channellive/channel104601/playlist.m3u8
潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
成都新闻综合,https://tv.cry33.com/cdtvflv.php?id=cdxwzh
成都经济资讯,https://tv.cry33.com/cdtvflv.php?id=cdjjzx
成都都市生活,https://tv.cry33.com/cdtvflv.php?id=cddssh
成都影视文艺,https://tv.cry33.com/cdtvflv.php?id=cdyswy#http://live.cooltv.top/tv/cdtv.php?id=cdyswy
成都公共,https://tv.cry33.com/cdtvflv.php?id=cdgg
成都少儿,https://tv.cry33.com/cdtvflv.php?id=cdse
成都蓉城先锋,https://tv.cry33.com/cdtvflv.php?id=cdrcxf
成华有线电视台,https://tv.cry33.com/cdtvflv.php?id=chyx
承德公共生活,https://jwliveqxzb.hebyun.com.cn/cdsggshtv/cdsggshtv.m3u8#https://jwcdnqx.hebyun.com.cn/live/cdsggshtv/1500k/tzwj_video.m3u8
承德新闻综合,https://jwliveqxzb.hebyun.com.cn/cdsxwzhtv/cdsxwzhtv.m3u8#https://jwcdnqx.hebyun.com.cn/live/cdsxwzhtv/1500k/tzwj_video.m3u8
池州文教生活,http://wjsp.chiznews.com:8037/live/wjsh.m3u8#http://wjsp.chiznews.com:8037/live/wjsh.flv
赤壁综合,https://chibi-live21.cjyun.org/10138/s10138-CBTV1.m3u8?auth_key=1735660799-0-0-1751de0a4678e4571fe2af86220e2a2b
崇阳新闻综合,http://61.184.176.248:10500/live/live.m3u8
崇州电视台,https://tv.cry33.com/cdtvflv.php?id=cztv
滁州公共频道,http://live.cztv.cc:85/live/ggpd.m3u8
滁州科教频道,http://live.cztv.cc:85/live/sjpd.m3u8
滁州新闻综合,http://live.cztv.cc:85/live/xwpd.m3u8
达州新闻综合,http://tv.drs.dzxw.net/channellive/xwzhpd-dz1.flv
达州文化生活,http://tv.drs.dzxw.net/channellive/ggpd-dz2.flv
达州通川频道,http://tv.drs.dzxw.net/channellive/tcpd-dz3.flv
大厂1套,http://60.10.185.184:1935/live/dc1.stream/playlist.m3u8
大通电视台,http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8
大悟综合频道,https://yunshangdawu-live21.cjyun.org/10129/s10129-dwzhpd.m3u8?auth_key=1735660799-0-0-b1bf1625df01ea7dabc97bf7aa7f253d
大邑综合,https://tv.cry33.com/cdtvflv.php?id=dyxwzh
大竹新闻综合,https://lmt.dazhutv.com/live1/live1.m3u8
岱山综合频道,https://l.cztvcloud.com/channels/lantian/SXdaishan01/720p.m3u8
丹棱新闻综合,http://dcpull.sctvcloud.com/live/51f08e62018810000b2562ab00000000/playlist.m3u8#http://dcpull.sctvcloud.com:80/live/51f08e62018810000b2562ab00000000/playlist.m3u8
丹阳新闻综合,http://danyang-tv-hls.cm.jstv.com/danyang-tv/danyangtv.m3u8
郸城新闻综合,http://live.dxhmt.cn:9081/tv/11625-1.m3u8#http://tvpull.dxhmt.cn:9081/tv/11625-1.m3u8
当阳综合频道,https://dangyang-live21.cjyun.org/10118/s10118-DYZH.m3u8?auth_key=1735660799-0-0-f8e56d713bf81af226bae8057d9a1bad
道真新闻综合,http://live.dzrmtzx.org.cn:90/live/dspd_1M.m3u8
德格综合频道,http://dgfile.ganzitv.com/nmip-media/channellive/channel101955/playlist.m3u8#http://dgfile.ganzitv.com:80/nmip-media/channellive/channel101955/playlist.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8#http://stream11.jlntv.cn/dehuitv/sd/live.m3u8?zjild
德阳文旅科教,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8
登封综合,http://tvpull.dxhmt.cn:9081/tv/10185-1.m3u8#http://live.dxhmt.cn:9081/tv/10185-1.m3u8
邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8#http://live.dxhmt.cn:9081/tv/11381-1.m3u8
定襄综合,http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8#http://lbyzztfe.live.sxmty.com/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8?zshanxd
定州新闻综合,https://jwcdnqx.hebyun.com.cn/live/xxzhpd/1500k/tzwj_video.m3u8#https://jwliveqxzb.hebyun.com.cn/xxzhpd/xxzhpd.m3u8
定州生活频道,https://jwcdnqx.hebyun.com.cn/live/shpd/1500k/tzwj_video.m3u8#https://jwliveqxzb.hebyun.com.cn/shpd/shpd.m3u8
定州国学影视,https://jwcdnqx.hebyun.com.cn/live/yspd/1500k/tzwj_video.m3u8#https://jwliveqxzb.hebyun.com.cn/yspd/yspd.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8#http://play-a2.quklive.com/live/1681113292195007.m3u8
洞头综合,http://l.cztvcloud.com/channels/lantian/SXdongtou1/720p.m3u8#http://play-sh.quklive.com/live/1688012459764188.m3u8
都昌综合频道,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_duchang.m3u8?t=&token=1User-Agent=Lavf/57.83.100
都江堰电视台,https://tv.cry33.com/cdtvflv.php?id=djytv
峨眉山综合频道,https://embl.emsyd.jrem.cn/aaa/003.m3u8?auth_key=1669861584-0-0-f96c19f553b976f1f9800423b10baa5b#https://embl.emsyd.jrem.cn:443/aaa/003.m3u8?auth_key=1669861584-0-0-f96c19f553b976f1f9800423b10baa5b
额济纳旗电视,http://pili-live-hls.nmgapp12019.sobeylive.com/nmgapp12019/live167081213259277.m3u8
鄂托克旗电视台,http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8?zneimd#http://110.19.181.138:10080/hls/F509Rh7GR/F509Rh7GR_live.m3u8
鄂温克电视台,http://pili-live-hls.nmgapp12019.sobeylive.com/nmgapp12019/live169742765819039.m3u8#kdsvod://http://v.91kds.com/b7/tianma.m3u8?ip=ewkrm.nmgcyy.com.cn&id=12&pwd=jsdecode
鄂州公共频道,https://ezhou-live21.cjyun.org/10098/s10098-EZ2T.m3u8?auth_key=1735660799-0-0-6deee5ef6d55cce1a924b7c14a999a69
鄂州新闻综合,https://ezhou-live21.cjyun.org/10098/s10098-EZ1T.m3u8?auth_key=1735660799-0-0-d737b8c7fad391cc6187d35123baff28
恩施文旅,https://46240.hlsplay.aodianyun.com/tv_radio_46240/tv_channel_1811.m3u8?auth_key=4857760464-0-0-ecabcbf26d39dc20cde584db2fa2a053&extra_key=D1dJezG95YTkYytoe8tr2Qhf-jhFFJmJpij9JNzLnfjYgxE5Q69rjZT1b2VrOxeb2zvhRo107e0Ze_h5agVjcLhNxl4RzjBShtdz-pQKUqaNbHnJMUJaS637QCoHNkKlJAb5i0lkR8MlxmIB6LIGojFm8kqvpZp_pI7SG10olDg#htmlplay://https://web.guangdianyun.tv/tv/?id=1811
恩施综合,https://46240.hlsplay.aodianyun.com/tv_radio_46240/tv_channel_1812.m3u8?auth_key=4857760445-0-0-48b20fcc677c9c453aade4127fb60836&extra_key=GstcZaunflMNLGu8_neZZDSebP_vdaZpjgvDNh0oFxowejqLIrS9a1EoZExxdRI2S9Y2xkAXOOpuGxK1RXBwE9Pxgs64YJr12xMoUq8C0CDA-bYdaRFKaVVL_9eb5cvcS93rOcGOJVmGyvmgI8egJounqzsBrsfAbiojm3VtXXo#htmlplay://https://web.guangdianyun.tv/tv/?id=1812
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
房山电视台,http://live.funhillrm.com/2/sd/live.m3u8
肥东经济生活,https://l-live.feidongtv.com/live/jjsh.m3u8?volcTime=1733980951&volcSecret=9afafbd9b0c2cb1cb4c6de370c923a00
肥东新闻综合,https://l-live.feidongtv.com/live/xwzh.m3u8?volcTime=1734599309&volcSecret=b9876af8a3e04cf08c039eb851083f3a
肥西综合频道,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5/hls.m3u8#http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5.flv
分宜综合频道,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_fenyi_tv.m3u8?t=&token=1User-Agent=Lavf/57.83.100
丰宁娱乐,https://jwcdnqx.hebyun.com.cn/live/fengningyulepindao/1500k/tzwj_video.m3u8
丰顺综合,https://p2.vzan.com/slowlive/024926084736123668/live.m3u8
封丘新闻综合,http://live.dxhmt.cn:9081/tv/10727-1.m3u8#http://tvpull.dxhmt.cn:9081/tv/10727-1.m3u8
凤冈综合,http://live.fgxrmtzx.cn:90/live/zhpd.m3u8
扶沟综合,http://tvpull.dxhmt.cn:9081/tv/11621-1.m3u8#http://live.dxhmt.cn:9081/tv/11621-1.m3u8
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
福贡电视台,http://livebroadcast.ccwb.cn/live/w1612505860303999.m3u8
福海汉语综合,http://222.81.86.42:8060/hls/ch3/ch3.m3u8
福海维语综合,http://222.81.86.42:8060/hls/ch4/ch4.m3u8
福州少儿,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
福州生活,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福州综合,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
抚顺综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000275
阜康新闻综合,http://120.69.17.15:50002/live/test1.m3u8
阜新综合,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000279
甘孜新闻综合,http://tv.drs.ganzitv.com:8100/channellive/gztv.flv
